id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
90000535,Union,Kidz Connection Childcare­the Village,Center,3 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,N,3,January,2023
90000535,Union,Kidz Connection Childcare­the Village,Center,3 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,N,3,January,2023
90000541,Union,Childcare Network #341,Center,Temp C,12,1,0,0,0,0,0,0,0,0,157,0,Independent Constructed for Child Care,Y,0,January,2023
90000541,Union,Childcare Network #341,Center,Temp C,12,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,0,January,2023
90000541,Union,Childcare Network #341,Center,Temp C,12,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,0,January,2023
9051664,Union,Weekday Children's Ministries,Center,5 Star C 2C,8,1,0,0,0,0,32,3,0,35,54,54,Religious Sponsored Religious,Y,9,January,2023
9051664,Union,Weekday Children's Ministries,Center,5 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,9,January,2023
9051664,Union,Weekday Children's Ministries,Center,5 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,9,January,2023
9051990,Union,Wingate Baptist Church Day Care,Center,4 Star C 2C,6,1,4,11,7,9,19,2,18,70,90,90,Religious Sponsored Religious,Y,9,January,2023
9051990,Union,Wingate Baptist Church Day Care,Center,4 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,9,January,2023
9051990,Union,Wingate Baptist Church Day Care,Center,4 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Religious,Y,9,January,2023
9054245,Union,Winchester Head Start Program,Center,5 Star C 2C,5,1,0,9,25,47,53,9,0,143,308,308,Head Start Community Building,N,22,January,2023
9054245,Union,Winchester Head Start Program,Center,5 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,N,22,January,2023
9054245,Union,Winchester Head Start Program,Center,5 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,N,22,January,2023
9055094,Union,Wingate Elementary After School Care Program,Center,5 Star C 2C,4,1,0,0,0,0,0,0,17,17,120,120,Local Public School School,Y,2,January,2023
9055094,Union,Wingate Elementary After School Care Program,Center,5 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,2,January,2023
9055094,Union,Wingate Elementary After School Care Program,Center,5 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,2,January,2023
9055097,Union,Unionville Elementary After School Care,Center,5 Star C 2C,7,1,0,0,0,0,0,0,64,64,125,125,Local Public School School,Y,6,January,2023
9055097,Union,Unionville Elementary After School Care,Center,5 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,6,January,2023
9055097,Union,Unionville Elementary After School Care,Center,5 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,6,January,2023
9055110,Union,"Unionville Child Development Center, Inc.",Center,1 Star C 2C,3,1,0,0,3,10,9,1,0,23,50,50,Independent Constructed for Child,N,3,January,2023
9055110,Union,"Unionville Child Development Center, Inc.",Center,1 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child,N,3,January,2023
9055110,Union,"Unionville Child Development Center, Inc.",Center,1 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child,N,3,January,2023
9059000,Union,Tabernacle Christian Childcare & Learning Center,Center,Other,10,1,9,13,22,12,18,7,39,120,115,115,Religious Religious,Y,17,January,2023
9059000,Union,Tabernacle Christian Childcare & Learning Center,Center,Other,10,2,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,17,January,2023
9059000,Union,Tabernacle Christian Childcare & Learning Center,Center,Other,10,3,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,17,January,2023
9059002,Union,First Assembly Day Care #2,Center,Other,10,1,5,8,12,19,11,0,0,55,87,87,Religious Religious,Y,10,January,2023
9059002,Union,First Assembly Day Care #2,Center,Other,10,2,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,10,January,2023
9059002,Union,First Assembly Day Care #2,Center,Other,10,3,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,10,January,2023
9059006,Union,New Testament Child Development Center,Center,4 Star C 2C,7,1,5,6,8,17,11,6,7,60,99,99,Religious Religious,Y,7,January,2023
9059006,Union,New Testament Child Development Center,Center,4 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,7,January,2023
9059006,Union,New Testament Child Development Center,Center,4 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,7,January,2023
9059009,Union,Metrolina Christian Academy Preschool,Center,Other,11,1,7,17,27,27,46,3,0,127,282,282,Religious Religious,Y,21,January,2023
9059009,Union,Metrolina Christian Academy Preschool,Center,Other,11,2,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,21,January,2023
9059009,Union,Metrolina Christian Academy Preschool,Center,Other,11,3,0,0,0,0,0,0,0,0,0,0,Religious Religious,Y,21,January,2023
91000032,Vance,Hicks Day Care,Home,4 Star H 2C,8,1,1,0,2,0,1,1,4,9,5,5,Independent Family Residence,Y,1,January,2023
91000032,Vance,Hicks Day Care,Home,4 Star H 2C,8,2,0,0,0,0,0,0,1,1,5,5,Independent Family Residence,Y,1,January,2023
91000032,Vance,Hicks Day Care,Home,4 Star H 2C,8,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,January,2023
91000043,Vance,C & R Day Care,Home,4 Star H 2C,6,1,0,2,1,1,0,0,5,9,8,8,Independent Doublewide,Y,1,January,2023
91000043,Vance,C & R Day Care,Home,4 Star H 2C,6,2,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,January,2023
91000043,Vance,C & R Day Care,Home,4 Star H 2C,6,3,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,January,2023
91000062,Vance,Marie's Child Care Home,Home,5 Star H 2C,11,1,1,0,1,1,0,0,1,4,5,5,Independent Family Residence,Y,1,January,2023
91000062,Vance,Marie's Child Care Home,Home,5 Star H 2C,11,2,0,0,0,0,0,0,0,0,5,5,Independent Family Residence,Y,1,January,2023
91000062,Vance,Marie's Child Care Home,Home,5 Star H 2C,11,3,0,0,0,0,0,4,1,5,5,5,Independent Family Residence,Y,1,January,2023
91000119,Vance,Shirley's Daycare,Home,4 Star H 2C,7,1,0,2,1,0,1,1,3,8,8,8,Independent Family Residence,Y,2,January,2023
91000119,Vance,Shirley's Daycare,Home,4 Star H 2C,7,2,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,2,January,2023
91000119,Vance,Shirley's Daycare,Home,4 Star H 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,2,January,2023
91000129,Vance,Mary's Daycare,Home,4 Star H 2C,2,1,1,0,0,2,1,1,0,5,5,8,Independent Family Residence,Y,1,January,2023
91000129,Vance,Mary's Daycare,Home,4 Star H 2C,2,2,0,0,0,0,0,0,0,0,5,8,Independent Family Residence,Y,1,January,2023
91000129,Vance,Mary's Daycare,Home,4 Star H 2C,2,3,0,0,0,0,0,0,0,0,5,8,Independent Family Residence,Y,1,January,2023
91000156,Vance,Young's 'Tots And Tods',Home,4 Star H 2C,10,1,0,1,1,0,0,0,4,6,8,8,Independent Doublewide,Y,1,January,2023
91000156,Vance,Young's 'Tots And Tods',Home,4 Star H 2C,10,2,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,January,2023
91000156,Vance,Young's 'Tots And Tods',Home,4 Star H 2C,10,3,0,1,0,0,0,0,0,1,8,8,Independent Doublewide,Y,1,January,2023
91000179,Vance,Turner Family Child Care,Home,3 Star H 2C,2,1,0,1,1,1,1,0,1,5,5,5,Independent Family Residence,Y,1,January,2023
91000179,Vance,Turner Family Child Care,Home,3 Star H 2C,2,2,0,0,0,0,0,0,0,0,5,5,Independent Family Residence,Y,1,January,2023
91000179,Vance,Turner Family Child Care,Home,3 Star H 2C,2,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,January,2023
91000184,Vance,Joyful Kids Family Child Care,Home,3 Star H 2C,4,1,0,0,0,1,1,0,4,6,5,5,Independent Family Residence,Y,1,January,2023
91000184,Vance,Joyful Kids Family Child Care,Home,3 Star H 2C,4,2,0,0,0,0,0,0,0,0,5,5,Independent Family Residence,Y,1,January,2023
91000184,Vance,Joyful Kids Family Child Care,Home,3 Star H 2C,4,3,0,0,0,0,0,0,1,1,5,5,Independent Family Residence,Y,1,January,2023
91000224,Vance,Teresa's Tree Of Knowledge,Home,5 Star H 2C,9,1,0,1,0,0,1,0,5,7,8,8,Independent Doublewide,Y,1,January,2023
91000224,Vance,Teresa's Tree Of Knowledge,Home,5 Star H 2C,9,2,0,0,0,0,0,0,3,3,8,8,Independent Doublewide,Y,1,January,2023
91000224,Vance,Teresa's Tree Of Knowledge,Home,5 Star H 2C,9,3,0,0,0,0,0,0,0,0,0,0,Independent Doublewide,Y,1,January,2023
91000253,Vance,Clark's Home Daycare,Home,4 Star H 2C,10,1,0,0,1,1,1,0,2,5,8,8,Independent Family Residence,Y,1,January,2023
91000253,Vance,Clark's Home Daycare,Home,4 Star H 2C,10,2,0,0,1,1,0,0,3,5,8,8,Independent Family Residence,Y,1,January,2023
91000253,Vance,Clark's Home Daycare,Home,4 Star H 2C,10,3,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,1,January,2023
91000285,Vance,Hawkins Kid College Daycare,Home,3 Star H 2C,8,1,0,0,1,0,0,0,0,1,8,8,Independent Doublewide,Y,1,January,2023
91000285,Vance,Hawkins Kid College Daycare,Home,3 Star H 2C,8,2,0,0,0,0,0,0,1,1,8,8,Independent Doublewide,Y,1,January,2023
91000285,Vance,Hawkins Kid College Daycare,Home,3 Star H 2C,8,3,0,0,0,0,0,0,0,0,8,8,Independent Doublewide,Y,1,January,2023
91000297,Vance,Henderson Family Day Care,Home,4 Star H 2C,4,1,1,0,0,0,0,0,1,2,5,5,Independent Family Residence,N,1,January,2023
91000297,Vance,Henderson Family Day Care,Home,4 Star H 2C,4,2,0,0,0,0,0,0,0,0,5,5,Independent Family Residence,N,1,January,2023
