id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
60001358,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,5,march,2017
60001360,MECKLENBURG,CENTERS,5-STAR,1,0,0,17,14,9,3,13,56,94,94,Independent    Converted,Y,0,march,2017
60001360,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Converted,Y,0,march,2017
60001360,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Converted,Y,0,march,2017
60001361,MECKLENBURG,CENTERS,5-STAR,1,11,14,16,15,35,10,13,114,173,173,Independent    Constructed for,Y,9,march,2017
60001361,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,9,march,2017
60001361,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,9,march,2017
60001362,MECKLENBURG,CENTERS,5-STAR,1,9,14,19,25,25,0,52,144,174,174,Independent    Constructed for,Y,0,march,2017
60001362,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,0,march,2017
60001362,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,0,march,2017
60001363,MECKLENBURG,CENTERS,5-STAR,1,9,11,13,27,43,29,0,132,174,176,Independent    Constructed for,Y,1,march,2017
60001363,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,1,march,2017
60001363,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,1,march,2017
60001364,MECKLENBURG,CENTERS,5-STAR,1,8,8,10,11,11,40,0,88,123,123,Independent    Constructed for,Y,3,march,2017
60001364,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,3,march,2017
60001364,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,3,march,2017
60001365,MECKLENBURG,CENTERS,5-STAR,1,5,15,19,17,22,0,43,121,195,195,Franchise      Constructed for,Y,0,march,2017
60001365,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,0,march,2017
60001365,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,0,march,2017
60001366,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,5,17,18,40,120,120,Franchise      Constructed for,Y,5,march,2017
60001366,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,5,march,2017
60001366,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,5,march,2017
60001367,MECKLENBURG,CENTERS,5-STAR,1,10,18,22,10,29,7,0,96,173,173,Franchise      Constructed for,Y,8,march,2017
60001367,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,8,march,2017
60001367,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,8,march,2017
60001368,MECKLENBURG,CENTERS,5-STAR,1,10,15,0,0,0,0,0,25,27,27,Independent    Converted House,Y,7,march,2017
60001368,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Converted House,Y,7,march,2017
60001368,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Converted House,Y,7,march,2017
60001369,MECKLENBURG,CENTERS,5-STAR,1,10,18,21,16,21,2,74,162,199,199,Independent    Constructed for,Y,7,march,2017
60001369,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,7,march,2017
