id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
88000080,Transylvania,Little Blessings Learning Center,Center,5 Star C 2C,1,1,0,7,7,10,13,3,0,40,46,46,Independent Converted Building,Y,7,December,2020
88000080,Transylvania,Little Blessings Learning Center,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,7,December,2020
88000080,Transylvania,Little Blessings Learning Center,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,7,December,2020
88000087,Transylvania,Lisa's Kiddiegarten,Center,4 Star C 2C,3,1,6,3,8,7,8,3,22,57,74,74,Independent Constructed for Child,Y,9,December,2020
88000087,Transylvania,Lisa's Kiddiegarten,Center,4 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child,Y,9,December,2020
88000087,Transylvania,Lisa's Kiddiegarten,Center,4 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child,Y,9,December,2020
88000097,Transylvania,"Nanna's And Mommy's, Too",Center,5 Star C 2C,3,1,5,10,22,12,20,0,0,69,99,99,Independent Converted Building,Y,16,December,2020
88000097,Transylvania,"Nanna's And Mommy's, Too",Center,5 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,16,December,2020
88000097,Transylvania,"Nanna's And Mommy's, Too",Center,5 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,16,December,2020
88000100,Transylvania,Bee Hive Learning Center At Brevard Elem,Center,4 Star C 2C,11,1,0,0,0,4,2,2,0,8,18,18,Local Public School School,N,3,December,2020
88000100,Transylvania,Bee Hive Learning Center At Brevard Elem,Center,4 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,3,December,2020
88000100,Transylvania,Bee Hive Learning Center At Brevard Elem,Center,4 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,3,December,2020
88000101,Transylvania,Tc Henderson Elem School­the Cubs Den,Center,5 Star C 2C,2,1,0,0,0,2,14,2,0,18,18,18,Local Public School School,Y,5,December,2020
88000101,Transylvania,Tc Henderson Elem School­the Cubs Den,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,5,December,2020
